IEEE,SR_V1,SR_V2,DSR,CDSR,VICON,TIME
72.0,71.0,71.0,72.0,72.0,87.1742,1415625.0
72.0,71.0,71.0,72.0,72.0,87.1968,1415641.3333333333
72.0,71.0,71.0,72.0,72.0,87.1875,1415657.6666666667
74.0,74.0,74.0,75.0,77.3,87.1847,1415674.0
74.0,74.0,74.0,75.0,78.3,87.1810,1415690.3333333333
74.0,74.0,74.0,75.0,79.3,87.1815,1415706.6666666667
74.0,73.0,73.0,73.0,73.0,87.1937,1415723.0
74.0,73.0,73.0,73.0,73.0,87.1696,1415739.6666666667
74.0,73.0,73.0,73.0,73.0,87.1715,1415756.3333333333
70.0,70.0,70.0,72.0,72.0,87.1715,1415773.0
70.0,70.0,70.0,72.0,72.0,87.1731,1415790.0
70.0,70.0,70.0,72.0,72.0,87.1809,1415807.0
70.0,71.0,71.0,72.0,72.0,87.1738,1415824.0
70.0,71.0,71.0,72.0,72.0,87.1856,1415840.6666666667
70.0,71.0,71.0,72.0,72.0,87.1816,1415857.3333333333
72.0,72.0,72.0,72.0,72.0,87.1816,1415874.0
72.0,72.0,72.0,72.0,72.0,87.1736,1415891.6666666667
72.0,72.0,72.0,72.0,72.0,87.1727,1415909.3333333333
72.0,71.0,71.0,71.0,71.0,87.1818,1415927.0
72.0,71.0,71.0,71.0,71.0,87.1902,1415942.6666666667
72.0,71.0,71.0,71.0,71.0,87.1831,1415958.3333333333
70.0,70.0,70.0,69.0,69.0,87.1752,1415974.0
70.0,70.0,70.0,69.0,69.0,87.1752,1415990.3333333333
70.0,70.0,70.0,69.0,69.0,87.1840,1416006.6666666667
70.0,70.0,70.0,71.0,71.0,87.1835,1416023.0
70.0,70.0,70.0,71.0,71.0,87.1803,1416039.3333333333
70.0,70.0,70.0,71.0,71.0,87.1679,1416055.6666666667
71.0,71.0,71.0,72.0,72.0,87.1783,1416072.0
71.0,71.0,71.0,72.0,72.0,87.1879,1416088.3333333333
71.0,71.0,71.0,72.0,72.0,87.1768,1416104.6666666667
71.0,71.0,71.0,72.0,72.0,87.1774,1416121.0
71.0,71.0,71.0,72.0,72.0,87.1808,1416138.0
71.0,71.0,71.0,72.0,72.0,87.1623,1416155.0
71.0,71.0,71.0,71.0,71.0,87.1693,1416172.0
71.0,71.0,71.0,71.0,71.0,87.1759,1416189.0
71.0,71.0,71.0,71.0,71.0,87.1665,1416206.0
71.0,73.0,73.0,74.0,74.0,87.1793,1416223.0
71.0,73.0,73.0,74.0,74.0,87.1765,1416240.0
71.0,73.0,73.0,74.0,74.0,87.1842,1416257.0
71.0,71.0,71.0,72.0,72.0,87.1816,1416274.0
71.0,71.0,71.0,72.0,72.0,87.1784,1416290.3333333333
71.0,71.0,71.0,72.0,72.0,87.1795,1416306.6666666667
71.0,69.0,69.0,70.0,70.0,87.1809,1416323.0
71.0,69.0,69.0,70.0,70.0,87.1837,1416339.3333333333
71.0,69.0,69.0,70.0,70.0,87.1769,1416355.6666666667
